Severity;Last updated;Date created;Age in Days;Status;Risk Rating;Asset ID;Type;Last synced;Defender Solution;Definition;First Found;Last Found;Platform;Category
High;3.10.2025 19:54;10.09.2025 17:15;24;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:27;13.08.2025 18:08;52;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:02;13.08.2025 17:06;52;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:00;13.08.2025 17:00;52;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:51;13.08.2025 16:36;52;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:26;10.09.2025 18:58;24;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:23;10.09.2025 18:47;24;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:16;13.08.2025 17:40;52;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:17;13.08.2025 17:36;52;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:15;13.08.2025 17:34;52;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:07;13.08.2025 17:16;52;Open;Medium;i-02c50969083a04a7e;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:02;9.07.2024 01:34;397;Open;Medium;i-00a0e14163cf605f5;;10.03.2025;Attention Required: vulnerabilities in Openssl;Summary: The POLY1305 MAC implementation in OpenSSL contains a vulnerability on Windows 64 platforms using newer x86_64 processors with AVX512-IFMA instructions. The issue arises from the failure to restore non-volatile XMM registers after processing data larger than 64 bytes, potentially leading to application state corruption. This vulnerability could result in incorrect application calculations, crashes, or denial of service, and in rare cases, complete control of the application process. The POLY1305 MAC is commonly used in CHACHA20-POLY1305 AEAD cipher, frequently employed in TLS protocols 1.2 and 1.3. Impact: Exploitation of this vulnerability could lead to application state corruption, resulting in incorrect calculations, crashes, denial of service, or potentially complete control of the application process. The severity is considered low due to the limited scope of affected applications. Workaround: The AVX512-IFMA instructions support can be disabled at runtime by setting the environment variable OPENSSL_ia32cap=:~0x200000. AdditionalInformation: The FIPS provider is not affected by this issue. No specific applications have been identified as impacted by this vulnerability. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.01.2024;10.02.2025;TPE;openssl
High;3.10.2025 20:13;10.09.2025 18:15;24;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:05;10.09.2025 17:46;24;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:11;13.08.2025 17:28;52;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:13;13.08.2025 17:26;52;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:07;13.08.2025 17:15;52;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:48;13.08.2025 16:31;52;Open;Medium;i-0497b492ed4b24912;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:08;10.09.2025 17:59;24;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:08;10.09.2025 17:58;24;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:24;13.08.2025 17:57;52;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:09;13.08.2025 17:19;52;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:05;13.08.2025 17:09;52;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:45;13.08.2025 16:23;52;Open;Medium;i-0c98d625739d3a50f;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:27;10.09.2025 19:02;24;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:59;10.09.2025 17:30;24;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:22;13.08.2025 17:52;52;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:15;13.08.2025 17:36;52;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:14;13.08.2025 17:33;52;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:46;13.08.2025 16:27;52;Open;Medium;i-0c429d129f6de338d;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
Medium;3.10.2025 20:09;10.09.2025 18:01;24;Open;Low;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: A race condition vulnerability exists in Microsoft SQL Server due to improper synchronization during concurrent execution using shared resources. This flaw allows an authenticated attacker to disclose sensitive information over a network. Impact: Exploitation of this vulnerability could lead to unauthorized disclosure of sensitive information, potentially compromising data confidentiality. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
Low;3.10.2025 20:24;24.04.2025 20:20;162;Open;Low;i-08e15507e758acf15;;10.03.2025;Attention Required: vulnerabilities in Openssl;Summary: A timing side-channel vulnerability (CVE-2024-13176) exists in the ECDSA signature computation within OpenSSL, potentially allowing an attacker to recover private key information. This issue arises due to a timing signal of approximately 300 nanoseconds when the top word of the inverted ECDSA nonce value is zero, which occurs with significant probability for certain elliptic curves, particularly the NIST P-521 curve. Exploitation requires either local access to the signing application or a very fast, low-latency network connection. The vulnerability affects FIPS modules in OpenSSL versions 3.4, 3.3, 3.2, 3.1, and 3.0. Impact: If exploited, this vulnerability could allow an attacker to recover private key information, potentially compromising the confidentiality of cryptographic operations. The risk is mitigated by the requirement for local access or a high-speed, low-latency network connection. AdditionalInformation: The vulnerability is classified as having a low severity due to the specific conditions required for successful exploitation. It was discovered by George Pantelakis and Alicja Kario. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];04/24/2025;10.02.2025;TPE;openssl
